;VKL_NUMMER;REGNUMMER;JTE_ID;WVK_ID;FK_VELD5;JAAR_VKL;AP3_CODE;ANTL_PTJ;AOL_ID;NIVEAUKOP;WSE_ID;BEBKOM;MAXSNELHD;WVL_ID;WVG_ID;WDK_ID;LGD_ID;WGD_CODE_1;HUISNUMMER;GME_NAAM
29649;20034222038;20032541114;;245372093;WVK0245372093;2003;UMS;1;9;E;1;BI;50;1;2;1;2;D;;Amsterdam
69492;20030712082;20030265181;245372079;;JTE0245372079;2003;UMS;2;6;E;5;BI;50;2;2;2;1;D;;Amsterdam
95032;20039073454;20032850381;245372079;;JTE0245372079;2003;UMS;2;7;E;5;BI;50;2;2;1;1;D;;Amsterdam
142806;20032022047;20031142041;245372075;;JTE0245372075;2003;UMS;2;6;E;4;BI;50;2;2;1;1;D;;Amsterdam
151996;20031412024;20030786201;245372083;;JTE0245372083;2003;UMS;2;7;E;5;BI;50;2;2;1;1;D;;Amsterdam
187305;1.20042E+11;2004147007-1;245372015;;JTE0245372015;2004;UMS;2;6;K;4;BI;50;2;2;2;3;D;;Amsterdam
243775;20041714210;20040922531;245372157;;JTE0245372157;2004;UMS;3;4;E;4;BI;50;2;2;1;1;D;;Amsterdam
440624;1.20053E+11;2005100628-1;245372081;;JTE0245372081;2005;UMS;2;7;E;4;BI;50;2;2;1;1;D;;Amsterdam
537666;2.20061E+11;2006255727-1;245372081;;JTE0245372081;2006;UMS;2;7;E;4;BI;50;2;2;2;1;D;;Amsterdam
569551;3.20071E+11;2007191491-1;245372083;;JTE0245372083;2007;UMS;2;7;E;5;BI;50;2;2;1;1;D;;Amsterdam
573702;3.20071E+11;2007197511-1;;245372028;WVK0245372028;2007;LET;2;2;E;1;BI;50;2;2;1;1;D;16;Amsterdam
674579;3.2007E+11;2007034429-1;245372079;;JTE0245372079;2007;LET;2;7;E;4;BI;50;2;2;1;1;D;;Amsterdam
711327;20080790898;2008150757-1;;245372027;WVK0245372027;2008;LET;2;6;E;1;BI;50;2;2;1;1;D;4;Amsterdam
764710;20080015496;2008005464-1;245372081;;JTE0245372081;2008;UMS;2;7;E;4;BI;50;2;2;1;1;D;;Amsterdam
841216;20090914460;2009271892-1;245372081;;JTE0245372081;2009;LET;2;7;E;4;BI;50;2;2;1;1;D;;Amsterdam
919470;20100079199;2010040310-1;245372083;;JTE0245372083;2010;UMS;2;8;E;5;BI;50;1;2;1;3;D;;Amsterdam
1096941;20129041474;2012140078;;244372073;WVK0244372073;2012;UMS;0;0;E;;;;;;;;;5;Amsterdam
1284416;20140132878;2014202406;;245372027;WVK0245372027;2014;UMS;2;9;S;2;;;2;2;1;;;2;Amsterdam
1296618;20140136631;2014202777;;245372027;WVK0245372027;2014;UMS;2;0;S;1;;50;2;2;1;;;2;Amsterdam
