id,agent_type,hour,count
0,Car,15,1
0,Car,16,2
0,Car,17,3
0,Bike,7,6
0,Bike,8,45
0,Bike,9,83
0,Bike,10,2
0,Bike,11,1
0,Bike,13,4
0,Bike,14,2
0,Bike,15,7
0,Bike,16,71
0,Bike,17,140
0,Bike,18,2
0,Bike,19,4
1,Pedestrian,8,44
1,Pedestrian,9,124
1,Pedestrian,10,1
1,Pedestrian,12,2
1,Pedestrian,14,2
1,Pedestrian,16,58
1,Pedestrian,17,124
1,Pedestrian,18,1
2,Pedestrian,8,37
2,Pedestrian,9,114
2,Pedestrian,10,2
2,Pedestrian,12,2
2,Pedestrian,14,2
2,Pedestrian,16,45
2,Pedestrian,17,122
2,Pedestrian,18,1
3,Car,9,4
3,Car,12,1
3,Car,17,2
3,Bike,7,2
3,Bike,8,21
3,Bike,9,23
3,Bike,10,2
3,Bike,12,2
3,Bike,15,1
3,Bike,16,10
3,Bike,17,10
3,Bike,22,1
3,Pedestrian,8,11
3,Pedestrian,9,12
3,Pedestrian,10,1
3,Pedestrian,13,1
3,Pedestrian,16,3
3,Pedestrian,17,18
4,Car,9,1
4,Car,17,1
4,Bike,8,6
4,Bike,9,6
4,Bike,15,4
4,Bike,16,10
4,Bike,17,24
4,Bike,22,1
4,Pedestrian,8,28
4,Pedestrian,9,48
4,Pedestrian,10,2
4,Pedestrian,12,1
4,Pedestrian,13,2
4,Pedestrian,15,1
4,Pedestrian,16,17
4,Pedestrian,17,55
5,Bike,7,1
5,Bike,8,11
5,Bike,9,8
5,Bike,15,1
5,Bike,16,34
5,Bike,17,52
6,Bike,7,29
6,Bike,8,60
6,Bike,9,111
6,Bike,10,2
6,Bike,13,1
6,Bike,14,1
6,Bike,15,8
6,Bike,16,108
6,Bike,17,170
6,Bike,19,1
6,Bike,21,1
6,Bike,22,2
7,Car,8,11
7,Car,9,9
7,Car,10,6
7,Car,12,4
7,Car,13,4
7,Car,14,4
7,Car,15,3
7,Car,16,8
7,Car,17,20
7,Car,18,1
7,Car,19,1
7,Bike,7,2
7,Bike,8,14
7,Bike,9,17
7,Bike,10,4
7,Bike,11,1
7,Bike,12,6
7,Bike,13,6
7,Bike,14,7
7,Bike,15,10
7,Bike,16,37
7,Bike,17,39
7,Bike,18,9
7,Bike,19,6
7,Bike,21,9
7,Bike,22,7
7,Pedestrian,7,4
7,Pedestrian,8,34
7,Pedestrian,9,47
7,Pedestrian,10,14
7,Pedestrian,11,4
7,Pedestrian,12,12
7,Pedestrian,13,10
7,Pedestrian,14,7
7,Pedestrian,15,4
7,Pedestrian,16,24
7,Pedestrian,17,62
7,Pedestrian,18,6
7,Pedestrian,19,1
7,Pedestrian,21,6
8,Car,8,30
8,Car,9,102
8,Car,10,23
8,Car,11,2
8,Car,12,13
8,Car,13,4
8,Car,14,13
8,Car,16,27
8,Car,17,68
8,Car,18,3
8,Car,19,4
8,Bike,8,33
8,Bike,9,39
8,Bike,10,1
8,Bike,12,1
8,Bike,13,3
8,Bike,14,4
8,Bike,15,6
8,Bike,16,14
8,Bike,17,18
8,Bike,18,2
8,Bike,19,2
8,Bike,21,6
8,Bike,22,5
11,Car,14,1
12,Car,14,1
13,Pedestrian,9,1
14,Pedestrian,8,1
14,Pedestrian,9,3
14,Pedestrian,17,2
16,Pedestrian,8,1
16,Pedestrian,9,1
16,Pedestrian,16,1
17,Bike,7,13
17,Bike,8,78
17,Bike,9,147
17,Bike,10,8
17,Bike,11,3
17,Bike,13,2
17,Bike,14,6
17,Bike,15,1
17,Bike,16,65
17,Bike,17,104
17,Bike,19,1
17,Pedestrian,7,20
17,Pedestrian,8,135
17,Pedestrian,9,276
17,Pedestrian,10,39
17,Pedestrian,11,3
17,Pedestrian,12,6
17,Pedestrian,13,9
17,Pedestrian,14,6
17,Pedestrian,15,12
17,Pedestrian,16,99
17,Pedestrian,17,311
17,Pedestrian,18,6
17,Pedestrian,19,6
17,Pedestrian,21,3
17,Pedestrian,22,6
18,Bike,7,4
18,Bike,8,39
18,Bike,9,88
18,Bike,10,8
18,Bike,11,2
18,Bike,13,2
18,Bike,14,1
18,Bike,15,2
18,Bike,16,43
18,Bike,17,75
18,Bike,19,1
18,Pedestrian,7,6
18,Pedestrian,8,43
18,Pedestrian,9,83
18,Pedestrian,10,13
18,Pedestrian,11,1
18,Pedestrian,12,2
18,Pedestrian,13,3
18,Pedestrian,14,1
18,Pedestrian,15,3
18,Pedestrian,16,33
18,Pedestrian,17,94
18,Pedestrian,18,1
18,Pedestrian,19,2
18,Pedestrian,21,1
18,Pedestrian,22,1
19,Bike,9,1
19,Bike,15,1
19,Bike,16,4
19,Bike,17,5
19,Pedestrian,8,31
19,Pedestrian,9,27
19,Pedestrian,10,1
19,Pedestrian,11,3
19,Pedestrian,13,1
19,Pedestrian,14,3
19,Pedestrian,15,3
19,Pedestrian,16,12
19,Pedestrian,17,45
19,Pedestrian,18,2
19,Pedestrian,20,1
20,Car,8,2
20,Car,9,1
20,Bike,8,6
20,Bike,9,1
20,Bike,16,3
20,Bike,17,4
20,Pedestrian,8,6
20,Pedestrian,9,5
20,Pedestrian,10,1
20,Pedestrian,11,1
20,Pedestrian,12,1
20,Pedestrian,15,1
20,Pedestrian,16,2
20,Pedestrian,17,6
20,Pedestrian,18,1
22,Bike,8,1
22,Bike,16,1
22,Pedestrian,8,1
22,Pedestrian,9,5
22,Pedestrian,17,8
23,Bike,7,1
23,Bike,8,17
23,Bike,9,28
23,Bike,10,1
23,Bike,11,1
23,Bike,14,1
23,Bike,15,1
23,Bike,16,18
23,Bike,17,40
23,Pedestrian,7,1
23,Pedestrian,8,19
23,Pedestrian,9,24
23,Pedestrian,10,3
23,Pedestrian,13,1
23,Pedestrian,14,1
23,Pedestrian,15,2
23,Pedestrian,16,10
23,Pedestrian,17,32
24,Bike,8,2
24,Bike,9,7
24,Bike,16,4
24,Bike,17,15
25,Bike,7,7
25,Bike,8,78
25,Bike,9,148
25,Bike,10,8
25,Bike,11,3
25,Bike,12,1
25,Bike,13,4
25,Bike,14,2
25,Bike,15,7
25,Bike,16,100
25,Bike,17,173
25,Bike,18,2
25,Bike,19,4
25,Pedestrian,8,17
25,Pedestrian,9,22
25,Pedestrian,10,4
25,Pedestrian,12,3
25,Pedestrian,13,1
25,Pedestrian,15,1
25,Pedestrian,16,1
25,Pedestrian,17,34
25,Pedestrian,22,1
26,Bike,7,4
26,Bike,8,39
26,Bike,9,88
26,Bike,10,8
26,Bike,11,2
26,Bike,13,2
26,Bike,14,1
26,Bike,15,2
26,Bike,16,44
26,Bike,17,74
26,Bike,19,1
26,Pedestrian,7,6
26,Pedestrian,8,43
26,Pedestrian,9,83
26,Pedestrian,10,13
26,Pedestrian,11,1
26,Pedestrian,12,2
26,Pedestrian,13,3
26,Pedestrian,14,1
26,Pedestrian,15,3
26,Pedestrian,16,33
26,Pedestrian,17,94
26,Pedestrian,18,1
26,Pedestrian,19,2
26,Pedestrian,21,1
26,Pedestrian,22,1
27,Bike,7,4
27,Bike,8,39
27,Bike,9,88
27,Bike,10,8
27,Bike,11,2
27,Bike,13,2
27,Bike,14,1
27,Bike,15,2
27,Bike,16,44
27,Bike,17,74
27,Bike,19,1
27,Pedestrian,7,6
27,Pedestrian,8,52
27,Pedestrian,9,101
27,Pedestrian,10,17
27,Pedestrian,11,1
27,Pedestrian,12,4
27,Pedestrian,13,4
27,Pedestrian,14,1
27,Pedestrian,15,4
27,Pedestrian,16,34
27,Pedestrian,17,118
27,Pedestrian,18,1
27,Pedestrian,19,2
27,Pedestrian,21,1
27,Pedestrian,22,2
28,Bike,7,4
28,Bike,8,39
28,Bike,9,89
28,Bike,10,8
28,Bike,11,2
28,Bike,13,2
28,Bike,14,1
28,Bike,15,2
28,Bike,16,44
28,Bike,17,73
28,Bike,19,1
28,Pedestrian,8,9
28,Pedestrian,9,17
28,Pedestrian,10,3
28,Pedestrian,12,2
28,Pedestrian,13,1
28,Pedestrian,15,1
28,Pedestrian,16,1
28,Pedestrian,17,22
28,Pedestrian,22,1
29,Bike,7,5
29,Bike,8,57
29,Bike,9,99
29,Bike,10,1
29,Bike,11,1
29,Bike,13,2
29,Bike,14,3
29,Bike,15,4
29,Bike,16,77
29,Bike,17,128
29,Bike,18,2
29,Bike,19,3
29,Pedestrian,7,9
29,Pedestrian,8,93
29,Pedestrian,9,132
29,Pedestrian,10,16
29,Pedestrian,11,2
29,Pedestrian,13,5
29,Pedestrian,14,3
29,Pedestrian,15,5
29,Pedestrian,16,66
29,Pedestrian,17,153
29,Pedestrian,18,4
29,Pedestrian,19,2
29,Pedestrian,20,2
29,Pedestrian,21,2
30,Bike,8,2
30,Bike,9,11
30,Bike,14,2
30,Bike,16,20
30,Bike,17,27
30,Bike,19,2
31,Bike,7,4
31,Bike,8,36
31,Bike,9,63
31,Bike,10,1
31,Bike,13,1
31,Bike,15,3
31,Bike,16,34
31,Bike,17,69
31,Bike,18,1
31,Bike,19,1
31,Pedestrian,8,6
31,Pedestrian,9,5
31,Pedestrian,16,3
31,Pedestrian,17,8
32,Bike,7,4
32,Bike,8,34
32,Bike,9,65
32,Bike,10,1
32,Bike,13,1
32,Bike,15,3
32,Bike,16,34
32,Bike,17,69
32,Bike,18,1
32,Bike,19,1
32,Pedestrian,8,5
32,Pedestrian,9,5
32,Pedestrian,16,3
32,Pedestrian,17,7
33,Bike,7,13
33,Bike,8,69
33,Bike,9,129
33,Bike,10,3
33,Bike,11,3
33,Bike,13,1
33,Bike,14,6
33,Bike,15,1
33,Bike,16,48
33,Bike,17,97
33,Bike,19,1
33,Pedestrian,7,19
33,Pedestrian,8,111
33,Pedestrian,9,260
33,Pedestrian,10,32
33,Pedestrian,11,3
33,Pedestrian,12,5
33,Pedestrian,13,7
33,Pedestrian,14,2
33,Pedestrian,15,15
33,Pedestrian,16,89
33,Pedestrian,17,284
33,Pedestrian,18,6
33,Pedestrian,19,4
33,Pedestrian,21,2
33,Pedestrian,22,4
34,Bike,7,13
34,Bike,8,70
