id,mode,modified,departure,duration,waiting_time,percent_waiting,duration_before
21964,Bike,false,06:46:00.0,279.1437,0,0,0
22458,Walk,false,06:50:00.0,308.7201,0,0,0
22462,Walk,false,06:50:00.0,312.3388,0,0,0
22428,Walk,false,06:48:00.0,729.5476,0,0,0
22463,Walk,false,07:00:00.0,312.3388,0,0,0
22638,Walk,false,06:58:00.0,601.2491,0,0,0
21934,Bike,false,07:02:00.0,472.4542,21.1159,4,0
21938,Bike,false,07:02:00.0,476.1116,25.329,5,0
22746,Walk,false,07:00:00.0,659.8724,0,0,0
22396,Walk,false,07:02:00.0,567.8272,41.4258,7,0
22628,Bike,false,07:04:00.0,459.3554,2,0,0
22624,Bike,false,07:04:00.0,461.7312,19.0676,4,0
21798,Walk,false,07:03:00.0,537.563,0,0,0
22732,Walk,false,07:03:00.0,550.26,0,0,0
22060,Bike,false,07:08:00.0,270.2914,0,0,0
22056,Bike,false,07:08:00.0,281.8898,0,0,0
22400,Walk,false,07:02:00.0,642.2289,0,0,0
22294,Bike,false,07:08:00.0,282.3758,6.6721,2,0
22298,Bike,false,07:08:00.0,289.344,1.552,0,0
21870,Bike,false,07:07:00.0,395.1359,1,0,0
22158,Walk,false,07:05:00.0,515.7186,0,0,0
21874,Bike,false,07:07:00.0,399.5863,25.2156,6,0
22346,Walk,false,07:05:00.0,571.6418,0,0,0
22459,Walk,false,07:00:00.0,900.2309,0,0,0
22320,Walk,false,07:04:00.0,664.1188,0,0,0
22160,Bike,false,07:11:00.0,275.157,0.2,0,0
21780,Bike,false,07:07:00.0,533.3234,15.9733,2,0
22310,Walk,false,07:04:00.0,722.9558,0,0,0
22678,Walk,false,07:12:00.0,253.4067,0,0,0
21774,Bike,false,07:14:00.0,179.7693,0,0,0
21778,Bike,false,07:14:00.0,198.6025,0,0,0
21742,Walk,false,07:17:00.0,24.227,0,0,0
22472,Bike,false,07:09:00.0,522.3594,26.5135,5,0
21642,Walk,false,07:09:00.0,559.2991,0,0,0
22625,Bike,false,07:14:00.0,269.6205,8.3854,3,0
21935,Bike,false,07:12:00.0,402.1881,1.5,0,0
21984,Walk,false,07:18:00.0,64.6906,0,0,0
22234,Walk,false,07:04:00.0,937.1151,79.7009,8,0
21939,Bike,false,07:12:00.0,458.2439,3,0,0
22186,Bike,false,07:07:00.0,782.3868,23.3776,2,0
21948,Walk,false,07:11:00.0,544.2307,0,0,0
22008,Walk,false,07:12:00.0,492.6037,0,0,0
22752,Bike,false,07:15:00.0,319.3886,4.6829,1,0
22629,Bike,false,07:14:00.0,387.5569,2,0,0
22452,Walk,false,07:07:00.0,824.5245,0,0,0
21846,Bike,false,07:10:00.0,658.4622,28.1829,4,0
22720,Walk,false,07:20:00.0,66.5631,0,0,0
22206,Bike,false,07:16:00.0,308.7089,3.8058,1,0
21850,Bike,false,07:10:00.0,671.9281,31.7733,4,0
22748,Bike,false,07:15:00.0,372.2322,31.0666,8,0
22724,Walk,false,07:20:00.0,80.1744,0,0,0
21752,Bike,false,07:15:00.0,451.3404,0,0,0
22592,Walk,false,07:14:00.0,512.801,0,0,0
22018,Walk,false,07:13:00.0,586.8576,0,0,0
22062,Walk,false,07:14:00.0,533.5119,0,0,0
22066,Walk,false,07:14:00.0,542.251,0,0,0
22061,Bike,false,07:18:00.0,305.806,6.4674,2,0
21875,Bike,false,07:17:00.0,365.8179,5.4964,1,0
22001,Bike,false,07:16:00.0,429.2787,5.1458,1,0
22076,Bike,false,07:18:00.0,312.4025,17.0082,5,0
22574,Walk,false,07:12:00.0,672.7521,35.279,5,0
22620,Walk,false,07:13:00.0,621.2681,0,0,0
22401,Walk,false,07:12:00.0,684.4578,0,0,0
22299,Bike,false,07:18:00.0,336.0992,4.2696,1,0
21871,Bike,false,07:17:00.0,414.5172,2,0,0
22596,Walk,false,07:14:00.0,612.4385,0,0,0
22276,Walk,false,07:16:00.0,494.1202,29.0655,5,0
22756,Walk,false,07:15:00.0,566.2514,0,0,0
22578,Walk,false,07:12:00.0,754.9623,53.853,7,0
22368,Walk,false,07:14:00.0,665.7248,0,0,0
21822,Bike,false,07:15:00.0,608.106,2.2,0,0
21814,Walk,false,07:17:00.0,493.1919,0,0,0
22022,Walk,false,07:13:00.0,737.8669,0,0,0
22348,Bike,false,07:18:00.0,445.8981,14.9069,3,0
22358,Walk,false,07:15:00.0,631.3634,0,0,0
22352,Bike,false,07:18:00.0,466.1776,12.3006,2,0
22422,Walk,false,07:18:00.0,478.6311,0,0,0
22490,Walk,false,07:17:00.0,541.4019,0.0263,0,0
22295,Bike,false,07:18:00.0,499.0318,20.3926,4,0
22426,Walk,false,07:18:00.0,503.5705,0,0,0
22057,Bike,false,07:18:00.0,511.4402,7.4221,1,0
22176,Bike,false,07:19:00.0,472.2489,23.3692,4,0
22180,Bike,false,07:19:00.0,473.608,11.283,2,0
21638,Walk,false,07:09:00.0,1078.1022,0,0,0
22364,Walk,false,07:14:00.0,782.4424,46.5697,5,0
21876,Walk,false,07:16:00.0,665.1439,0,0,0
22754,Walk,false,07:13:00.0,847.7964,0,0,0
21810,Walk,false,07:17:00.0,609.5839,0,0,0
22397,Walk,false,07:12:00.0,921.0919,0,0,0
22488,Walk,false,07:18:00.0,566.6402,0,0,0
22482,Walk,false,07:19:00.0,519.164,0,0,0
22146,Walk,false,07:14:00.0,820.2786,0,0,0
22006,Walk,false,07:11:00.0,1003.012,42.7416,4,0
22552,Bike,false,07:23:00.0,284.6125,5.3022,1,0
22556,Bike,false,07:23:00.0,290.3328,1.4698,0,0
22662,Bike,false,07:23:00.0,300.0414,7.3379,2,0
22304,Bike,false,07:18:00.0,604.9196,8.1527,1,0
22658,Bike,false,07:23:00.0,307.6917,27.2351,8,0
22300,Bike,false,07:18:00.0,615.8204,2.9578,0,0
21643,Walk,false,07:19:00.0,559.2991,0,0,0
22036,Walk,false,07:17:00.0,687.1238,0,0,0
21694,Bike,false,07:19:00.0,577.7864,18.6691,3,0
22406,Bike,false,07:19:00.0,580.543,24.4545,4,0
22402,Bike,false,07:19:00.0,584.3953,18.0532,3,0
21779,Bike,false,07:24:00.0,288.7553,0,0,0
21847,Bike,false,07:20:00.0,542.6371,3.6723,0,0
21970,Bike,false,07:24:00.0,309.5957,22.7988,7,0
22742,Bike,false,07:23:00.0,372.442,9.2197,2,0
21690,Bike,false,07:19:00.0,613.1832,10.6301,1,0
22692,Bike,false,07:22:00.0,436.408,6.6752,1,0
22312,Walk,false,07:20:00.0,556.8005,0,0,0
21880,Bike,false,07:22:00.0,438.5236,62.1417,14,0
22753,Bike,false,07:25:00.0,267.8059,8.3122,3,0
22270,Walk,false,07:22:00.0,448.1391,39.1782,8,0
22575,Walk,false,07:22:00.0,448.1631,0,0,0
21966,Bike,false,07:24:00.0,330.5415,21.8032,6,0
22670,Bike,false,07:25:00.0,281.6839,0,0,0
22220,Walk,false,07:21:00.0,522.8626,0,0,0
22666,Bike,false,07:25:00.0,290.6553,1.6491,0,0
22142,Bike,false,07:17:00.0,778.5122,0.5,0,0
22572,Walk,false,07:19:00.0,660.2259,0,0,0
21858,Walk,false,07:21:00.0,541.4643,0,0,0
21820,Walk,false,07:21:00.0,543.9617,0,0,0
22690,Walk,false,07:22:00.0,492.7139,0,0,0
21734,Bike,false,07:22:00.0,501.5963,1.2361,0,0
21730,Bike,false,07:22:00.0,501.8666,15.2682,3,0
22749,Bike,false,07:25:00.0,323.981,1.5,0,0
22758,Bike,false,07:26:00.0,266.8082,0.2,0,0
22721,Walk,false,07:30:00.0,35.7405,0,0,0
21698,Bike,false,07:26:00.0,279.4558,0.9211,0,0
22355,Walk,false,07:25:00.0,351.226,0,0,0
22274,Walk,false,07:22:00.0,542.3091,0,0,0
22725,Walk,false,07:30:00.0,80.1744,0,0,0
22118,Walk,false,07:22:00.0,560.6818,3.9777,0,0
22216,Bike,false,07:23:00.0,501.5371,0.5,0,0
22484,Walk,false,07:22:00.0,576.3807,0,0,0
21644,Bike,false,07:26:00.0,348.3143,17.0619,4,0
21648,Bike,false,07:26:00.0,359.9135,18.3484,5,0
22184,Bike,false,07:22:00.0,608.4126,8.9758,1,0
21794,Walk,false,07:21:00.0,670.455,0,0,0
22760,Walk,false,07:21:00.0,683.71,0,0,0
22446,Walk,false,07:21:00.0,715.7807,45.7526,6,0
22122,Walk,false,07:22:00.0,661.9182,19.6364,2,0
22067,Walk,false,07:24:00.0,542.251,0,0,0
21706,Bike,false,07:26:00.0,424.3272,0,0,0
21702,Bike,false,07:26:00.0,428.8666,13.316,3,0
