id,agent_type,hour,count
0,Car,16,2
0,Car,17,2
0,Bike,7,4
0,Bike,8,40
0,Bike,9,71
0,Bike,10,2
0,Bike,11,1
0,Bike,13,4
0,Bike,14,2
0,Bike,15,4
0,Bike,16,66
0,Bike,17,128
0,Bike,18,2
0,Bike,19,4
1,Pedestrian,8,44
1,Pedestrian,9,123
1,Pedestrian,10,1
1,Pedestrian,12,3
1,Pedestrian,14,2
1,Pedestrian,15,1
1,Pedestrian,16,59
1,Pedestrian,17,113
1,Pedestrian,18,1
1,Pedestrian,22,1
2,Pedestrian,8,37
2,Pedestrian,9,114
2,Pedestrian,10,1
2,Pedestrian,12,3
2,Pedestrian,14,2
2,Pedestrian,15,1
2,Pedestrian,16,46
2,Pedestrian,17,111
2,Pedestrian,18,1
2,Pedestrian,22,1
3,Car,8,1
3,Car,9,4
3,Car,17,1
3,Bike,7,2
3,Bike,8,18
3,Bike,9,22
3,Bike,10,2
3,Bike,12,2
3,Bike,15,1
3,Bike,16,10
3,Bike,17,10
3,Bike,22,1
3,Pedestrian,8,11
3,Pedestrian,9,12
3,Pedestrian,10,1
3,Pedestrian,13,1
3,Pedestrian,16,3
3,Pedestrian,17,14
4,Car,9,1
4,Bike,8,6
4,Bike,9,6
4,Bike,15,4
4,Bike,16,10
4,Bike,17,20
4,Bike,22,1
4,Pedestrian,8,28
4,Pedestrian,9,49
4,Pedestrian,10,2
4,Pedestrian,12,1
4,Pedestrian,13,2
4,Pedestrian,15,1
4,Pedestrian,16,18
4,Pedestrian,17,45
5,Bike,7,1
5,Bike,8,11
5,Bike,9,8
5,Bike,15,1
5,Bike,16,34
5,Bike,17,52
6,Bike,7,29
6,Bike,8,60
6,Bike,9,111
6,Bike,10,2
6,Bike,13,1
6,Bike,14,1
6,Bike,15,8
6,Bike,16,108
6,Bike,17,166
7,Car,7,1
7,Car,8,21
7,Car,9,20
7,Car,10,10
7,Car,11,1
7,Car,12,6
7,Car,13,3
7,Car,14,5
7,Car,15,1
7,Car,16,6
7,Car,17,35
7,Car,18,1
7,Bike,7,2
7,Bike,8,14
7,Bike,9,17
7,Bike,10,4
7,Bike,11,1
7,Bike,12,6
7,Bike,13,6
7,Bike,14,7
7,Bike,15,10
7,Bike,16,37
7,Bike,17,33
7,Bike,18,9
7,Bike,19,6
7,Bike,21,8
7,Bike,22,7
7,Pedestrian,7,4
7,Pedestrian,8,33
7,Pedestrian,9,47
7,Pedestrian,10,13
7,Pedestrian,11,4
7,Pedestrian,12,11
7,Pedestrian,13,11
7,Pedestrian,14,7
7,Pedestrian,15,4
7,Pedestrian,16,24
7,Pedestrian,17,55
7,Pedestrian,18,4
7,Pedestrian,19,1
7,Pedestrian,21,5
8,Car,7,1
8,Car,8,18
8,Car,9,84
8,Car,10,10
8,Car,11,3
8,Car,12,9
8,Car,13,3
8,Car,14,7
8,Car,15,2
8,Car,16,11
8,Car,17,30
8,Car,18,1
8,Car,19,1
8,Bike,8,34
8,Bike,9,37
8,Bike,10,1
8,Bike,12,1
8,Bike,13,3
8,Bike,14,4
8,Bike,15,6
8,Bike,16,14
8,Bike,17,18
8,Bike,18,2
8,Bike,19,2
8,Bike,21,5
8,Bike,22,5
11,Car,14,1
12,Car,14,1
13,Pedestrian,9,1
14,Pedestrian,8,1
14,Pedestrian,9,3
14,Pedestrian,17,2
16,Pedestrian,8,1
16,Pedestrian,9,1
16,Pedestrian,16,1
17,Bike,7,15
17,Bike,8,83
17,Bike,9,159
17,Bike,10,8
17,Bike,11,3
17,Bike,13,2
17,Bike,14,6
17,Bike,15,4
17,Bike,16,70
17,Bike,17,100
17,Bike,19,1
17,Pedestrian,7,20
17,Pedestrian,8,135
17,Pedestrian,9,276
17,Pedestrian,10,39
17,Pedestrian,11,3
17,Pedestrian,12,6
17,Pedestrian,13,9
17,Pedestrian,14,6
17,Pedestrian,15,12
17,Pedestrian,16,99
17,Pedestrian,17,179
17,Pedestrian,21,3
18,Bike,7,6
18,Bike,8,45
18,Bike,9,101
18,Bike,10,8
18,Bike,11,2
18,Bike,13,2
18,Bike,14,1
18,Bike,15,5
18,Bike,16,48
18,Bike,17,71
18,Bike,19,1
18,Pedestrian,7,6
18,Pedestrian,8,43
18,Pedestrian,9,83
18,Pedestrian,10,13
18,Pedestrian,11,1
18,Pedestrian,12,2
18,Pedestrian,13,3
18,Pedestrian,14,1
18,Pedestrian,15,3
18,Pedestrian,16,33
18,Pedestrian,17,56
18,Pedestrian,21,1
19,Bike,9,1
19,Bike,15,1
19,Bike,16,4
19,Bike,17,4
19,Pedestrian,8,31
19,Pedestrian,9,27
19,Pedestrian,10,1
19,Pedestrian,11,3
19,Pedestrian,13,1
19,Pedestrian,14,3
19,Pedestrian,15,3
19,Pedestrian,16,12
19,Pedestrian,17,21
20,Car,8,2
20,Car,9,1
20,Bike,8,6
20,Bike,9,1
20,Bike,16,3
20,Bike,17,3
20,Pedestrian,8,6
20,Pedestrian,9,5
20,Pedestrian,10,1
20,Pedestrian,11,1
