id,agent_type,hour,count
0,Pedestrian,8,45
0,Pedestrian,9,122
0,Pedestrian,10,1
0,Pedestrian,12,3
0,Pedestrian,14,2
0,Pedestrian,15,1
0,Pedestrian,16,59
0,Pedestrian,17,113
0,Pedestrian,18,1
0,Pedestrian,22,1
1,Pedestrian,8,38
1,Pedestrian,9,113
1,Pedestrian,10,1
1,Pedestrian,12,3
1,Pedestrian,14,2
1,Pedestrian,15,1
1,Pedestrian,16,46
1,Pedestrian,17,111
1,Pedestrian,18,1
1,Pedestrian,22,1
2,Car,9,1
2,Bike,8,6
2,Bike,9,6
2,Bike,15,4
2,Bike,16,10
2,Bike,17,20
2,Bike,22,1
2,Pedestrian,8,12
2,Pedestrian,9,28
2,Pedestrian,10,1
2,Pedestrian,13,2
2,Pedestrian,16,7
2,Pedestrian,17,31
3,Bike,7,1
3,Bike,8,11
3,Bike,9,8
3,Bike,15,1
3,Bike,16,34
3,Bike,17,52
4,Car,7,1
4,Car,8,6
4,Car,9,7
4,Car,10,2
4,Car,11,1
4,Car,12,3
4,Car,13,1
4,Car,14,2
4,Car,16,3
4,Car,17,11
4,Car,18,1
4,Bike,7,2
4,Bike,8,12
4,Bike,9,14
4,Bike,10,4
4,Bike,11,1
4,Bike,12,6
4,Bike,13,6
4,Bike,14,7
4,Bike,15,9
4,Bike,16,25
4,Bike,17,15
4,Bike,18,9
4,Bike,19,6
4,Bike,21,8
4,Bike,22,7
5,Car,7,1
5,Car,8,6
5,Car,9,7
5,Car,10,2
5,Car,11,1
5,Car,12,3
5,Car,13,1
5,Car,14,2
5,Car,16,3
5,Car,17,11
5,Car,18,1
5,Bike,8,32
5,Bike,9,35
5,Bike,10,1
5,Bike,12,1
5,Bike,13,3
5,Bike,14,4
5,Bike,15,6
5,Bike,16,14
5,Bike,17,18
5,Bike,18,2
5,Bike,19,2
5,Bike,21,5
5,Bike,22,5
9,Car,14,1
10,Pedestrian,9,3
11,Pedestrian,8,1
11,Pedestrian,9,3
11,Pedestrian,17,2
12,Pedestrian,9,1
12,Pedestrian,17,1
13,Pedestrian,8,1
13,Pedestrian,9,1
13,Pedestrian,16,1
13,Pedestrian,17,1
14,Bike,7,7
14,Bike,8,47
14,Bike,9,102
14,Bike,10,8
14,Bike,11,2
14,Bike,13,2
14,Bike,14,1
14,Bike,15,4
14,Bike,16,45
14,Bike,17,70
14,Bike,19,1
14,Pedestrian,7,6
14,Pedestrian,8,45
14,Pedestrian,9,86
14,Pedestrian,10,13
14,Pedestrian,11,1
14,Pedestrian,12,2
14,Pedestrian,13,3
14,Pedestrian,14,1
14,Pedestrian,15,4
14,Pedestrian,16,34
14,Pedestrian,17,60
14,Pedestrian,21,1
15,Bike,7,6
15,Bike,8,45
15,Bike,9,101
15,Bike,10,8
15,Bike,11,2
15,Bike,13,2
15,Bike,14,1
15,Bike,15,5
15,Bike,16,48
15,Bike,17,71
15,Bike,19,1
15,Pedestrian,7,8
15,Pedestrian,8,45
15,Pedestrian,9,85
15,Pedestrian,10,13
15,Pedestrian,11,1
15,Pedestrian,12,2
15,Pedestrian,13,3
15,Pedestrian,14,1
15,Pedestrian,15,4
15,Pedestrian,16,32
15,Pedestrian,17,56
15,Pedestrian,21,1
16,Bike,16,3
16,Bike,17,3
16,Pedestrian,16,2
17,Pedestrian,17,3
18,Bike,8,2
18,Bike,9,7
18,Bike,16,4
18,Bike,17,15
19,Bike,7,5
19,Bike,8,55
19,Bike,9,94
19,Bike,10,7
19,Bike,11,2
19,Bike,12,1
19,Bike,13,4
19,Bike,14,1
19,Bike,15,4
19,Bike,16,79
19,Bike,17,133
19,Bike,18,2
19,Bike,19,4
20,Bike,7,6
20,Bike,8,45
20,Bike,9,101
20,Bike,10,8
20,Bike,11,2
20,Bike,13,2
20,Bike,14,1
20,Bike,15,5
20,Bike,16,49
20,Bike,17,70
20,Bike,19,1
20,Pedestrian,7,6
20,Pedestrian,8,43
20,Pedestrian,9,83
20,Pedestrian,10,13
20,Pedestrian,11,1
20,Pedestrian,12,2
20,Pedestrian,13,3
20,Pedestrian,14,1
20,Pedestrian,15,3
20,Pedestrian,16,33
20,Pedestrian,17,56
20,Pedestrian,21,1
21,Bike,7,6
21,Bike,8,45
21,Bike,9,102
21,Bike,10,8
21,Bike,11,2
21,Bike,13,2
21,Bike,14,1
21,Bike,15,5
21,Bike,16,49
21,Bike,17,69
21,Bike,19,1
21,Pedestrian,8,9
21,Pedestrian,9,18
21,Pedestrian,10,4
21,Pedestrian,12,2
21,Pedestrian,13,1
21,Pedestrian,15,1
21,Pedestrian,16,1
21,Pedestrian,17,10
22,Bike,8,2
22,Bike,9,11
22,Bike,14,2
22,Bike,16,20
22,Bike,17,27
22,Bike,19,2
23,Bike,8,2
23,Bike,9,7
23,Bike,16,4
23,Bike,17,15
24,Bike,7,4
24,Bike,8,36
24,Bike,9,63
24,Bike,10,1
24,Bike,13,1
24,Bike,15,3
24,Bike,16,34
24,Bike,17,58
24,Bike,18,1
24,Bike,19,1
24,Pedestrian,8,5
24,Pedestrian,9,5
24,Pedestrian,16,3
24,Pedestrian,17,7
25,Bike,7,15
25,Bike,8,74
25,Bike,9,139
25,Bike,10,3
25,Bike,11,3
25,Bike,13,1
25,Bike,14,6
25,Bike,15,4
25,Bike,16,54
25,Bike,17,92
25,Bike,19,1
25,Pedestrian,7,8
25,Pedestrian,8,42
25,Pedestrian,9,91
25,Pedestrian,10,13
25,Pedestrian,11,1
25,Pedestrian,12,2
25,Pedestrian,13,3
25,Pedestrian,14,1
25,Pedestrian,15,5
25,Pedestrian,16,32
25,Pedestrian,17,58
25,Pedestrian,21,1
26,Bike,9,4
26,Bike,14,2
26,Bike,16,16
26,Bike,17,12
26,Bike,19,2
27,Bike,7,4
27,Bike,8,34
27,Bike,9,65
27,Bike,10,1
27,Bike,13,1
27,Bike,15,3
27,Bike,16,34
27,Bike,17,58
27,Bike,18,1
27,Bike,19,1
27,Pedestrian,8,5
27,Pedestrian,9,5
27,Pedestrian,16,3
27,Pedestrian,17,7
28,Bike,7,4
28,Bike,8,34
28,Bike,9,65
28,Bike,10,1
28,Bike,13,1
28,Bike,15,3
28,Bike,16,34
28,Bike,17,58
28,Bike,18,1
28,Bike,19,1
28,Pedestrian,7,1
28,Pedestrian,8,10
28,Pedestrian,9,68
28,Pedestrian,10,1
28,Pedestrian,14,1
28,Pedestrian,15,1
28,Pedestrian,16,12
28,Pedestrian,17,22
29,Bike,7,2
29,Bike,8,4
29,Bike,9,20
29,Bike,16,10
29,Bike,17,8
29,Pedestrian,7,1
29,Pedestrian,8,13
29,Pedestrian,9,46
29,Pedestrian,13,1
29,Pedestrian,15,3
29,Pedestrian,16,16
29,Pedestrian,17,11
30,Bike,7,17
30,Bike,8,87
30,Bike,9,137
30,Bike,10,3
30,Bike,11,1
30,Bike,14,6
30,Bike,15,5
30,Bike,16,68
30,Bike,17,81
30,Pedestrian,7,25
30,Pedestrian,8,166
30,Pedestrian,9,386
30,Pedestrian,10,22
30,Pedestrian,11,3
30,Pedestrian,12,7
30,Pedestrian,13,3
30,Pedestrian,14,7
30,Pedestrian,15,13
30,Pedestrian,16,153
30,Pedestrian,17,251
30,Pedestrian,18,2
30,Pedestrian,21,1
31,Bike,7,16
31,Bike,8,80
31,Bike,9,130
31,Bike,10,3
31,Bike,11,1
31,Bike,14,6
31,Bike,15,4
31,Bike,16,64
31,Bike,17,86
31,Pedestrian,7,23
31,Pedestrian,8,172
31,Pedestrian,9,372
31,Pedestrian,10,22
31,Pedestrian,11,3
31,Pedestrian,12,7
31,Pedestrian,13,3
31,Pedestrian,14,7
31,Pedestrian,15,13
31,Pedestrian,16,155
31,Pedestrian,17,245
31,Pedestrian,18,2
31,Pedestrian,21,1
32,Bike,7,16
32,Bike,8,80
32,Bike,9,132
32,Bike,10,3
32,Bike,11,1
32,Bike,14,6
32,Bike,15,4
32,Bike,16,61
32,Bike,17,88
32,Pedestrian,7,14
32,Pedestrian,8,93
32,Pedestrian,9,215
32,Pedestrian,10,18
32,Pedestrian,11,2
32,Pedestrian,12,4
32,Pedestrian,13,3
32,Pedestrian,14,1
32,Pedestrian,15,11
32,Pedestrian,16,90
32,Pedestrian,17,138
32,Pedestrian,21,1
33,Bike,7,4
33,Bike,8,34
33,Bike,9,58
33,Bike,10,3
33,Bike,13,1
33,Bike,14,2
33,Bike,15,1
33,Bike,16,40
33,Bike,17,50
33,Pedestrian,8,2
33,Pedestrian,9,5
33,Pedestrian,16,4
33,Pedestrian,17,3
34,Bike,7,4
34,Bike,8,25
34,Bike,9,49
34,Bike,10,2
34,Bike,13,2
34,Bike,14,1
34,Bike,15,1
34,Bike,16,46
34,Bike,17,60
34,Pedestrian,7,5
34,Pedestrian,8,75
34,Pedestrian,9,130
34,Pedestrian,10,2
34,Pedestrian,11,2
