id,mode,modified,departure,duration,waiting_time,percent_waiting,duration_before
21964,Bike,false,06:46:00.0,276.7124,0,0,0
22458,Walk,false,06:50:00.0,307.7063,0,0,0
22462,Walk,false,06:50:00.0,311.3132,0,0,0
22428,Walk,false,06:48:00.0,725.2241,0,0,0
22463,Walk,false,07:00:00.0,311.3132,0,0,0
22638,Walk,false,06:58:00.0,597.6859,0,0,0
21934,Bike,false,07:02:00.0,470.0913,21.1159,4,0
21938,Bike,false,07:02:00.0,473.503,25.329,5,0
22746,Walk,false,07:00:00.0,655.9618,0,0,0
22396,Walk,false,07:02:00.0,564.0443,41.4258,7,0
22628,Bike,false,07:04:00.0,456.8437,2,0,0
22624,Bike,false,07:04:00.0,459.1826,19.0304,4,0
21798,Walk,false,07:03:00.0,536.4201,0,0,0
22732,Walk,false,07:03:00.0,546.999,0,0,0
22060,Bike,false,07:08:00.0,268.1344,0,0,0
22400,Walk,false,07:02:00.0,638.4228,0,0,0
22056,Bike,false,07:08:00.0,279.6818,0,0,0
22294,Bike,false,07:08:00.0,280.1887,6.6357,2,0
22298,Bike,false,07:08:00.0,287.0657,1.552,0,0
22158,Walk,false,07:05:00.0,512.6623,0,0,0
21870,Bike,false,07:07:00.0,392.8386,1,0,0
21874,Bike,false,07:07:00.0,397.188,25.1477,6,0
22346,Walk,false,07:05:00.0,568.2541,0,0,0
22459,Walk,false,07:00:00.0,899.2171,0,0,0
22320,Walk,false,07:04:00.0,660.183,0,0,0
22160,Bike,false,07:11:00.0,272.5875,0.2,0,0
21780,Bike,false,07:07:00.0,530.2745,15.4171,2,0
22310,Walk,false,07:04:00.0,722.1494,0,0,0
22678,Walk,false,07:12:00.0,249.6125,0,0,0
21774,Bike,false,07:14:00.0,177.2667,0,0,0
21778,Bike,false,07:14:00.0,195.9057,0,0,0
21742,Walk,false,07:17:00.0,24.227,0,0,0
22472,Bike,false,07:09:00.0,519.5361,26.5135,5,0
21935,Bike,false,07:12:00.0,361.1596,0.5,0,0
21642,Walk,false,07:09:00.0,555.9845,0,0,0
22625,Bike,false,07:14:00.0,259.868,0.5,0,0
21939,Bike,false,07:12:00.0,417.4114,2,0,0
21984,Walk,false,07:18:00.0,61.9759,0,0,0
22234,Walk,false,07:04:00.0,933.8523,79.7009,8,0
22186,Bike,false,07:07:00.0,779.8152,23.3776,2,0
21948,Walk,false,07:11:00.0,541.0053,0,0,0
22008,Walk,false,07:12:00.0,489.6845,0,0,0
22752,Bike,false,07:15:00.0,317.2565,4.6829,1,0
22629,Bike,false,07:14:00.0,390.7305,2,0,0
22452,Walk,false,07:07:00.0,823.7224,0,0,0
21846,Bike,false,07:10:00.0,655.9665,28.1829,4,0
22720,Walk,false,07:20:00.0,63.4449,0,0,0
22206,Bike,false,07:16:00.0,306.3809,3.8058,1,0
21850,Bike,false,07:10:00.0,669.095,31.7733,4,0
22748,Bike,false,07:15:00.0,369.9283,31.0666,8,0
22724,Walk,false,07:20:00.0,76.4187,0,0,0
21752,Bike,false,07:15:00.0,448.9852,0,0,0
21875,Bike,false,07:17:00.0,329.191,4.6043,1,0
22592,Walk,false,07:14:00.0,509.6024,0,0,0
22018,Walk,false,07:13:00.0,585.9999,0,0,0
22062,Walk,false,07:14:00.0,530.5911,0,0,0
22061,Bike,false,07:18:00.0,298.8595,1,0,0
22066,Walk,false,07:14:00.0,539.2824,0,0,0
22001,Bike,false,07:16:00.0,429.2787,7.0581,1,0
22574,Walk,false,07:12:00.0,669.801,35.279,5,0
22076,Bike,false,07:18:00.0,309.9383,17.0082,5,0
22401,Walk,false,07:12:00.0,676.8456,0,0,0
22620,Walk,false,07:13:00.0,617.5863,0,0,0
22299,Bike,false,07:18:00.0,331.7306,1.5,0,0
21871,Bike,false,07:17:00.0,412.902,2,0,0
22596,Walk,false,07:14:00.0,608.6183,0,0,0
22276,Walk,false,07:16:00.0,491.0396,29.0655,5,0
22756,Walk,false,07:15:00.0,562.8956,0,0,0
22578,Walk,false,07:12:00.0,751.7167,53.853,7,0
22368,Walk,false,07:14:00.0,661.7796,0,0,0
21822,Bike,false,07:15:00.0,605.3663,2.2,0,0
21814,Walk,false,07:17:00.0,490.2691,0,0,0
22022,Walk,false,07:13:00.0,736.7883,0,0,0
