date,lesson_time,code,location,size
"Monday, 4 November 2024",09:00 - 10:45,900192SSCY,AUC 1.06,25
"Monday, 4 November 2024",09:00 - 10:45,900361SSCY,AUC 1.05,25
"Monday, 4 November 2024",09:00 - 11:00,6414M0277Y,REC E0.09,60
"Monday, 4 November 2024",09:00 - 11:00,6011P0230Y,Aula - Lutherse Kerk 0.00,450
"Monday, 4 November 2024",09:00 - 11:00,6314M0287Y,REC JKK.44,30
"Monday, 4 November 2024",09:00 - 11:00,6314M0162Y,REC JKTB.39,90
"Monday, 4 November 2024",09:00 - 11:00,6314M0311Y,REC M1.02,120
"Monday, 4 November 2024",09:00 - 11:00,6310M0001Y,REC C1.07,15
"Monday, 4 November 2024",09:00 - 11:00,6414M0277Y,REC E0.09,60
"Monday, 4 November 2024",11:00 - 13:00,6414M0166Y,REC JK1.18,35
"Monday, 4 November 2024",13:00 - 15:00,6414M0171Y,REC V2.03,40
"Monday, 4 November 2024",09:00 - 11:00,6012S0055Y,REC C0.02,100
"Monday, 4 November 2024",11:00 - 13:00,6013B0537Y,REC M1.03,120
"Monday, 4 November 2024",13:00 - 15:00,6012S0054Y,REC JKTB.16,40
"Monday, 4 November 2024",09:00 - 11:00,121111066Y,PCH 3.01,25
"Monday, 4 November 2024",09:15 - 11:00,6012S0017Y,REC C0.01,180
"Monday, 4 November 2024",11:00 - 13:00,6012B0209Y,REC B3.08,60
"Monday, 4 November 2024",09:00 - 11:00,138110046Y,OMHP C0.17,70
"Monday, 4 November 2024",11:00 - 13:00,114111056Y,OMHP D0.09,99
"Monday, 4 November 2024",13:00 - 15:00,138110006Y,OMHP D1.09,150
"Monday, 4 November 2024",09:00 - 11:00,11402A025Y,OMHP D1.18A,20
"Monday, 4 November 2024",11:00 - 13:00,110221026Y,OMHP C0.17,60
"Monday, 4 November 2024",11:00 - 13:00,114221832Y,OMHP C2.23,20
"Monday, 4 November 2024",09:00 - 11:00,11112L326Y,PCH 5.08,22
"Monday, 4 November 2024",11:00 - 13:00,11112L246Y,PCH 4.22,17
"Monday, 4 November 2024",09:00 - 11:00,139121026Y,PCH 1.04,65
"Monday, 4 November 2024",09:00 - 11:00,11112L326Y,PCH 5.08,22
"Monday, 4 November 2024",11:00 - 13:00,11112L246Y,PCH 4.22,17
"Monday, 4 November 2024",09:00 - 11:00,121111066Y,PCH 3.01,25
"Monday, 4 November 2024",09:00 - 11:00,115121006Y,UT 3.01,89
"Monday, 4 November 2024",11:00 - 12:00,115121006Y,UT 1.01,30
"Monday, 4 November 2024",12:00 - 13:00,115121006Y,UT 1.01,30
"Monday, 4 November 2024",09:00 - 12:00,118221022Y,OMHP C0.23,24
"Monday, 4 November 2024",12:00 - 15:00,118221022Y,OMHP C0.23,24
"Monday, 4 November 2024",12:00 - 15:00,118221022Y,OMHP C3.23,24
"Monday, 4 November 2024",09:00 - 11:00,123121046Y,OMHP D1.09,100
"Monday, 4 November 2024",11:00 - 13:00,120221726Y,PCH 4.11,25
"Monday, 4 November 2024",11:00 - 13:00,165612002Y,PCH 5.08,23
"Monday, 4 November 2024",09:00 - 11:00,136221430Y,UT 1.01A,26
"Monday, 4 November 2024",09:00 - 11:00,178421186Y,PCH 4.04,32
"Monday, 4 November 2024",11:00 - 13:00,142421196Y,OMHP C1.17,25
"Monday, 4 November 2024",11:00 - 13:00,126111056Y,PCH 6.06,20
"Monday, 4 November 2024",13:00 - 15:00,143421306Y,OIH E0.14C,18
"Monday, 4 November 2024",11:00 - 13:00,147623096Y,OMHP E0.13,22
"Monday, 4 November 2024",09:00 - 12:00,145417346Y,OMHP C3.23,25
"Monday, 4 November 2024",13:00 - 15:00,112110026Y,OMHP D1.18B,24
"Monday, 4 November 2024",15:00 - 17:00,112110026Y,OMHP D1.18B,24
"Monday, 4 November 2024",10:00 - 12:00,158612132Y,OMHP F0.01,25
"Monday, 4 November 2024",11:00 - 13:00,178421296Y,PCH 4.04,23
"Monday, 4 November 2024",11:00 - 13:00,184415116Y,PCH 4.28,7
"Monday, 4 November 2024",09:00 - 11:00,178421186Y,PCH 4.04,32
"Monday, 4 November 2024",11:00 - 13:00,178421296Y,PCH 4.04,23
"Monday, 4 November 2024",13:00 - 15:00,180421002Y,PCH 6.05,20
"Monday, 4 November 2024",09:00 - 11:00,121111066Y,PCH 3.01,25
"Monday, 4 November 2024",11:00 - 13:00,121111066Y,PCH 3.01,25
"Monday, 4 November 2024",09:00 - 11:00,178421186Y,PCH 4.04,32
"Monday, 4 November 2024",09:00 - 12:00,129221116Y,PCH K.04,25
"Monday, 4 November 2024",12:00 - 15:00,129221116Y,REC A1.07,25
"Monday, 4 November 2024",15:00 - 17:00,111221422Y,OMHP D0.08,125
"Monday, 4 November 2024",09:00 - 11:00,115121006Y,UT 3.01,89
"Monday, 4 November 2024",11:00 - 12:00,115121006Y,UT 1.01,30
"Monday, 4 November 2024",12:00 - 13:00,115121006Y,UT 1.01,30
"Monday, 4 November 2024",09:00 - 12:00,159421162Y,OMHP E0.12,22
"Monday, 4 November 2024",12:00 - 15:00,159421162Y,BG2 0.02 (Samenwerkingsruimte),21
"Monday, 4 November 2024",15:00 - 17:00,136121066Y,OMHP D0.09,30
"Monday, 4 November 2024",09:00 - 12:00,187411236Y,OMHP E2.01,20
"Monday, 4 November 2024",12:00 - 15:00,187421446Y,OMHP C1.23,25
"Monday, 4 November 2024",15:00 - 17:00,133221066Y,PCH 6.06,14
"Monday, 4 November 2024",09:00 - 12:00,134121306Y,OMHP A1.18D,25
"Monday, 4 November 2024",12:00 - 15:00,135221096Y,PCH 5.19,15
"Monday, 4 November 2024",11:00 - 13:00,135110216Y,PCH K.05 (Computerzaal),20
"Monday, 4 November 2024",09:00 - 11:00,184421142Y,PCH 4.22,16
"Monday, 4 November 2024",11:00 - 13:00,178421296Y,PCH 4.04,23
"Monday, 4 November 2024",09:00 - 12:00,145417346Y,OMHP C3.23,25
"Monday, 4 November 2024",09:00 - 11:00,3802OANMVY,REC P2.32,45
"Monday, 4 November 2024",11:00 - 13:00,3802GRQPVY,REC P2.32,30
"Monday, 4 November 2024",11:00 - 13:00,3803MOQPKY,REC P1.24,18
"Monday, 4 November 2024",09:00 - 11:00,3014STWGGY,REC JKTK.17 (Active Learning Space),30
"Monday, 4 November 2024",11:00 - 13:00,3154CAR1VY,REC A2.09,80
"Monday, 4 November 2024",13:00 - 15:00,3013AMW0KY,REC A3.06 (Active learning space),30
"Monday, 4 November 2024",09:00 - 10:45,5111ITOC5Y,NU-3A06 (76/26T),0
"Monday, 4 November 2024",11:00 - 11:45,4021WDD10Y,AMC CZ-2,250
"Monday, 4 November 2024",12:00 - 12:45,4021WDD10Y,AMC CZ-2,250
"Monday, 4 November 2024",09:00 - 11:00,5132MOSI6Y,SP B0.202,20
"Monday, 4 November 2024",11:00 - 11:45,5053MOON6Y,AMC CZ-5,78
"Monday, 4 November 2024",12:00 - 12:45,5053MOON6Y,AMC CZ-5,78
"Monday, 4 November 2024",09:00 - 11:00,5132MOSI6Y,SP B0.202,20
"Monday, 4 November 2024",11:00 - 11:45,5053MOON6Y,AMC CZ-5,78
"Monday, 4 November 2024",12:00 - 12:45,5053MOON6Y,AMC CZ-5,78
"Monday, 4 November 2024",09:00 - 10:45,5111ITOC5Y,NU-3A06 (76/26T),0
"Monday, 4 November 2024",11:00 - 12:45,5111ITOC5Y,NU-3A06 (76/26T),0
"Monday, 4 November 2024",13:00 - 15:00,5022KNAT6Y,SP L0.12,18
"Monday, 4 November 2024",09:00 - 11:00,5132MOSI6Y,SP B0.202,20
"Monday, 4 November 2024",11:00 - 13:00,5132FOTC6Y,REC JKB.11,75
"Monday, 4 November 2024",13:00 - 15:00,5122GEDI6Y,SP G5.29,30
"Monday, 4 November 2024",09:00 - 10:45,5111ITOC5Y,NU-3A06 (76/26T),0
"Monday, 4 November 2024",11:00 - 11:45,5053MOON6Y,AMC CZ-5,78
"Monday, 4 November 2024",12:00 - 12:45,5053MOON6Y,AMC CZ-5,78
"Monday, 4 November 2024",09:00 - 11:00,5284INTL6Y,SP G3.02,28
"Monday, 4 November 2024",11:00 - 13:00,5284ADAL6Y,SP H0.08,90
"Monday, 4 November 2024",13:00 - 15:00,5294MIS18Y,SP H0.08,60
"Monday, 4 November 2024",09:00 - 10:45,900273HUMY,AUC 3.05,25
"Monday, 4 November 2024",11:00 - 11:45,5053MOON6Y,AMC CZ-5,78
"Monday, 4 November 2024",12:00 - 12:45,5053MOON6Y,AMC CZ-5,78
"Monday, 4 November 2024",09:00 - 11:00,77511201AY,OMHP D0.09,200
"Monday, 4 November 2024",11:00 - 13:00,77533500CY,REC C1.05,20
"Monday, 4 November 2024",13:00 - 14:00,7311E0010Y,REC B1.01,25
"Monday, 4 November 2024",09:00 - 09:30,7322E063FY,REC B1.02,0
"Monday, 4 November 2024",10:00 - 13:00,7323A048LY,REC B3.02,30
"Monday, 4 November 2024",13:00 - 15:00,7302A4000Y,REC A1.02,150
"Monday, 4 November 2024",09:00 - 11:00,77511201AY,OMHP D0.09,200
"Monday, 4 November 2024",11:00 - 13:00,70730315EY,OMHP D0.09,0
"Monday, 4 November 2024",13:00 - 15:00,73310104AY,REC C1.04,300
"Monday, 4 November 2024",09:00 - 11:00,736410081Y,REC JKB.03,35
"Monday, 4 November 2024",09:00 - 11:00,77643SP05Y,REC C2.02,25
"Monday, 4 November 2024",09:00 - 11:00,77643SP05Y,REC C1.06,25
"Monday, 4 November 2024",09:00 - 11:00,7014C464CY,REC D0.01,20
"Monday, 4 November 2024",11:00 - 13:00,7014C463AY,REC CK.02 (Active Learning Space),20
"Monday, 4 November 2024",13:00 - 15:00,7204MS69XY,REC JKB.11,90
"Monday, 4 November 2024",09:00 - 09:30,7322E063FY,REC B1.02,0
"Monday, 4 November 2024",10:00 - 12:00,70230375AY,REC A2.10,58
"Monday, 4 November 2024",12:00 - 14:00,7334E006BY,REC B3.09,50
"Monday, 4 November 2024",09:00 - 11:00,73421B010Y,REC B2.07,30
"Monday, 4 November 2024",11:00 - 13:00,73421B010Y,REC B2.07,30
"Monday, 4 November 2024",13:00 - 15:00,7302A4000Y,REC A1.02,150
"Monday, 4 November 2024",09:00 - 11:00,73421B010Y,REC B2.07,30
"Monday, 4 November 2024",11:00 - 13:00,73421B010Y,REC B2.07,30
"Monday, 4 November 2024",09:00 - 11:00,736410081Y,REC JKB.03,35
