0;1;2;3;4;5;6
"Sarphatistraat 4
1017 WS  AMSTERDAM";Kantoorfunctie;760m²;52.3597828;4.9021033;house;
"Sarphatistraat 6
1017 WS  AMSTERDAM";Kantoorfunctie;1875;52.3598012;4.9022206;house;
"Sarphatistraat 6
1017 WS  AMSTERDAM";Kantoorfunctie;Verblijfsobject in gebruik;52.3598012;4.9022206;house;
"Sarphatistraat 8
1017 WS  AMSTERDAM";Bijeenkomstfunctie;1880;52.3598197;4.9023378;house;
"Sarphatistraat 12
1017 WS  AMSTERDAM";Gezondheidszorgfunctie;1249m²;52.3598565;4.9025576;house;
"Sarphatistraat 14
1017 WS  AMSTERDAM";Kantoorfunctie;516m²;52.3598563;4.9025575;house;
"Sarphatistraat 14 R
1017 WS  AMSTERDAM";Woonfunctie;93m²;52.3597583;4.9027202;house;
"Sarphatistraat 14 R
1017 WS  AMSTERDAM";Woonfunctie;93m²;52.3597583;4.9027202;house;
"Sarphatistraat 14 T
1017 WS  AMSTERDAM";Woonfunctie;93m²;52.3598659;4.9026603;house;
"Sarphatistraat 14 U
1017 WS  AMSTERDAM";Woonfunctie;188m²;52.3598931;4.9027187;house;
"Sarphatistraat 14 U
1017 WS  AMSTERDAM";Woonfunctie;188m²;52.3598931;4.9027187;house;
"Sarphatistraat 14 A
1017 WS  AMSTERDAM";Woonfunctie;91m²;52.3599209;4.9029239;house;
"Sarphatistraat 14 B
1017 WS  AMSTERDAM";Woonfunctie;72m²;52.359921;4.9029386;house;
"Sarphatistraat 14 C
1017 WS  AMSTERDAM";Woonfunctie;78m²;52.3599211;4.9029679;house;
"Sarphatistraat 14 D
1017 WS  AMSTERDAM";Woonfunctie;80m²;52.3599212;4.9029826;house;
"Sarphatistraat 14 E
1017 WS  AMSTERDAM";Woonfunctie;83m²;52.3599028;4.9028947;house;
"Sarphatistraat 14 F
1017 WS  AMSTERDAM";Woonfunctie;66m²;52.359903;4.9029241;house;
"Sarphatistraat 14 G
1017 WS  AMSTERDAM";Woonfunctie;88m²;52.359903;4.9029388;house;
"Sarphatistraat 14 H
1017 WS  AMSTERDAM";Woonfunctie;80m²;52.3599031;4.9029681;house;
"Sarphatistraat 14 K
1017 WS  AMSTERDAM";Woonfunctie;66m²;52.3599032;4.9029828;house;
"Sarphatistraat 14 L
1017 WS  AMSTERDAM";Woonfunctie;66m²;52.3599033;4.9029975;house;
"Sarphatistraat 14 M
1017 WS  AMSTERDAM";Woonfunctie;88m²;52.3598939;4.9029095;house;
"Sarphatistraat 14 N
1017 WS  AMSTERDAM";Woonfunctie;84m²;52.359885;4.9029243;house;
"Sarphatistraat 14 P
1017 WS  AMSTERDAM";Woonfunctie;90m²;52.359885;4.902939;house;
"Sarphatistraat 14 P
1017 WS  AMSTERDAM";Woonfunctie;90m²;52.359885;4.902939;house;
"Sarphatikade 1 A
1017 WV  AMSTERDAM";Woonfunctie;73m²;52.3598956;4.9033206;house;
"Sarphatikade 1 B
1017 WV  AMSTERDAM";Woonfunctie;127m²;52.3598954;4.9033205;house;
"Sarphatikade 1 C
1017 WV  AMSTERDAM";Woonfunctie;170m²;52.3598953;4.9033204;house;
"Sarphatikade 2 A
1017 WV  AMSTERDAM";Woonfunctie;62m²;52.3598148;4.9033508;house;
"Sarphatikade 2 B
1017 WV  AMSTERDAM";Woonfunctie;122m²;52.3598148;4.9033506;house;
"Sarphatikade 2 C
1017 WV  AMSTERDAM";Woonfunctie;170m²;52.3598149;4.9033504;house;
"Sarphatikade 2 D
1017 WV  AMSTERDAM";Woonfunctie;78m²;52.3598149;4.9033502;house;
"Sarphatikade 2 E
1017 WV  AMSTERDAM";Woonfunctie;70m²;52.359815;4.90335;house;
"Sarphatikade 3 A
1017 WV  AMSTERDAM";Woonfunctie;135m²;52.3597879;4.9033511;house;
"Sarphatikade 3 B
1017 WV  AMSTERDAM";Woonfunctie;108m²;52.3597789;4.9033659;house;
