Address,Latitude,Longitude,Category,Name,Area,pred_residents
Sarphatistraat 4,52.3597828,4.9021033,office,,,
Sarphatistraat 6,52.3598012,4.9022206,office,,,
Sarphatistraat 8,52.3598197,4.9023378,public_place,,,
Sarphatistraat 12,52.3598565,4.9025576,health_care,,,
Sarphatistraat 14,52.3598563,4.9025575,office,,,
Sarphatistraat 14 R,52.3597583,4.9027202,house,,93,2.0
Sarphatistraat 14 T,52.3598659,4.9026603,house,,93,2.0
Sarphatistraat 14 U,52.3598931,4.9027187,house,,188,5.0
Sarphatistraat 14 A,52.3599209,4.9029239,house,,91,2.0
Sarphatistraat 14 B,52.359921,4.9029386,house,,72,2.0
Sarphatistraat 14 C,52.3599211,4.9029679,house,,78,2.0
Sarphatistraat 14 D,52.3599212,4.9029826,house,,80,2.0
Sarphatistraat 14 E,52.3599028,4.9028947,house,,83,2.0
Sarphatistraat 14 F,52.359903,4.9029241,house,,66,2.0
Sarphatistraat 14 G,52.359903,4.9029388,house,,88,2.0
Sarphatistraat 14 H,52.3599031,4.9029681,house,,80,2.0
Sarphatistraat 14 K,52.3599032,4.9029828,house,,66,2.0
Sarphatistraat 14 L,52.3599033,4.9029975,house,,66,2.0
Sarphatistraat 14 M,52.3598939,4.9029095,house,,88,2.0
Sarphatistraat 14 N,52.359885,4.9029243,house,,84,2.0
Sarphatistraat 14 P,52.359885,4.902939,house,,90,2.0
Sarphatikade 1 A,52.3598956,4.9033206,house,,73,2.0
Sarphatikade 1 B,52.3598954,4.9033205,house,,127,4.0
Sarphatikade 1 C,52.3598953,4.9033204,house,,170,4.0
Sarphatikade 2 A,52.3598148,4.9033508,house,,62,2.0
Sarphatikade 2 B,52.3598148,4.9033506,house,,122,4.0
Sarphatikade 2 C,52.3598149,4.9033504,house,,170,4.0
Sarphatikade 2 D,52.3598149,4.9033502,house,,78,2.0
Sarphatikade 2 E,52.359815,4.90335,house,,70,2.0
Sarphatikade 3 A,52.3597879,4.9033511,house,,135,4.0
Sarphatikade 3 B,52.3597789,4.9033659,house,,108,3.0
Sarphatikade 3 C,52.359761,4.9033807,house,,149,4.0
Sarphatikade 5 A,52.3596983,4.9034255,house,,106,3.0
Sarphatikade 5 B,52.3596984,4.9034254,house,,108,3.0
Sarphatikade 5 C,52.3596986,4.9034252,house,,149,4.0
Sarphatistraat 1,52.3601929,4.9013061,information,Bezoekerscentrum De Nederlandse Bank,,
Sarphatistraat 7,52.360286,4.9020978,house,,,
Sarphatistraat 9,52.3603135,4.902215,office,,,
