date,lesson_time,code,location,size
"Monday, 11 November 2024",09:00 - 11:00,6011P0168Y,REC M1.01,220
"Monday, 11 November 2024",09:00 - 11:00,6011P0283Y,REC A0.01,450
"Monday, 11 November 2024",09:00 - 11:00,6011P0209Y,REC M3.02 (HLT),450
"Monday, 11 November 2024",09:00 - 11:00,6012B0423Y,REC V2.03,35
"Monday, 11 November 2024",09:00 - 11:00,6011P0230Y,Aula - Lutherse Kerk 0.00,450
"Monday, 11 November 2024",11:00 - 13:00,6011P0283Y,REC C0.02,220
"Monday, 11 November 2024",11:00 - 13:00,6012B0422Y,REC E0.22 (Active Learning Space),40
"Monday, 11 November 2024",11:00 - 13:00,6012B0422Y,REC E0.15,40
"Monday, 11 November 2024",11:00 - 13:00,6012B0423Y,REC V2.12,35
"Monday, 11 November 2024",11:00 - 13:00,6012B0423Y,REC V2.03,35
"Monday, 11 November 2024",13:00 - 15:00,6011P0168Y,REC C1.03,450
"Monday, 11 November 2024",13:00 - 15:00,6012B0422Y,REC E0.15,40
"Monday, 11 November 2024",13:00 - 15:00,6012B0422Y,REC E0.14,40
"Monday, 11 November 2024",13:00 - 15:00,6012B0423Y,REC V2.12,35
"Monday, 11 November 2024",13:00 - 15:00,6012B0423Y,REC V1.03,35
"Monday, 11 November 2024",15:00 - 17:00,6012B0386Y,REC M1.01,160
"Monday, 11 November 2024",15:00 - 17:00,6012B0422Y,REC E0.14,40
"Monday, 11 November 2024",15:00 - 17:00,6012B0423Y,REC V2.12,35
"Monday, 11 November 2024",15:00 - 17:00,6011P0212Y,REC C2.07,20
"Monday, 11 November 2024",15:00 - 17:00,6012B0452Y,Aula - Lutherse Kerk 0.00,580
"Monday, 11 November 2024",17:00 - 19:00,6012B0809Y,REC M1.02,120
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0168Y,REC E0.14,35
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0168Y,REC V2.04,40
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0168Y,REC JKB.46,35
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0168Y,REC E0.15,40
"Tuesday, 12 November 2024",09:00 - 11:00,6012B0386Y,REC V0.13,40
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0283Y,REC JKT1.05,40
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0283Y,REC JKK.93,40
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0283Y,REC V2.03,35
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0283Y,REC E0.04,35
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0283Y,REC JK1.90,35
"Tuesday, 12 November 2024",09:00 - 11:00,6012B0809Y,REC M1.03,120
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0206Y,REC JKK.60a,35
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0206Y,REC V2.12,35
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0209Y,REC JKB.03,35
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0212Y,REC V0.10,15
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0212Y,REC E1.51,15
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0212Y,REC E0.08,20
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0212Y,REC JKK.79,20
"Tuesday, 12 November 2024",09:00 - 11:00,6011P0212Y,REC JKB.18,20
