objectnr;label;linknr;year;name;day;daylv;eveninglv;nightlv;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
6844;Link 27650;27650;2019;Roetersstraat;3416;180;144;74;LINESTRING(4.910889 52.3643783,4.9109251 52.3642608,4.9109005 52.3641306);LINESTRING(52.3643783 4.910889,52.3642608 4.9109251,52.3641306 4.9109005);4.91090705;52.36425445
6845;Link 27650;27650;2025;Roetersstraat;4645;246;197;101;LINESTRING(4.910889 52.3643783,4.9109251 52.3642608,4.9109005 52.3641306);LINESTRING(52.3643783 4.910889,52.3642608 4.9109251,52.3641306 4.9109005);4.91090705;52.36425445
6846;Link 27650;27650;2030;Roetersstraat;4991;265;212;108;LINESTRING(4.910889 52.3643783,4.9109251 52.3642608,4.9109005 52.3641306);LINESTRING(52.3643783 4.910889,52.3642608 4.9109251,52.3641306 4.9109005);4.91090705;52.36425445
6847;Link 27650;27650;2035;Roetersstraat;5143;273;218;112;LINESTRING(4.910889 52.3643783,4.9109251 52.3642608,4.9109005 52.3641306);LINESTRING(52.3643783 4.910889,52.3642608 4.9109251,52.3641306 4.9109005);4.91090705;52.36425445
6848;Link 27650;27650;2040;Roetersstraat;5224;278;222;113;LINESTRING(4.910889 52.3643783,4.9109251 52.3642608,4.9109005 52.3641306);LINESTRING(52.3643783 4.910889,52.3642608 4.9109251,52.3641306 4.9109005);4.91090705;52.36425445
6849;Link 27650;27650;2050;Roetersstraat;5676;302;241;123;LINESTRING(4.910889 52.3643783,4.9109251 52.3642608,4.9109005 52.3641306);LINESTRING(52.3643783 4.910889,52.3642608 4.9109251,52.3641306 4.9109005);4.91090705;52.36425445
6850;Link 27651;27651;2019;Roetersstraat;3406;180;144;74;LINESTRING(4.910786 52.3636496,4.9108909 52.3639834,4.9109005 52.3641306);LINESTRING(52.3636496 4.910786,52.3639834 4.9108909,52.3641306 4.9109005);4.91084325;52.3638901
6851;Link 27651;27651;2025;Roetersstraat;4636;246;196;101;LINESTRING(4.910786 52.3636496,4.9108909 52.3639834,4.9109005 52.3641306);LINESTRING(52.3636496 4.910786,52.3639834 4.9108909,52.3641306 4.9109005);4.91084325;52.3638901
6852;Link 27651;27651;2030;Roetersstraat;4982;265;211;108;LINESTRING(4.910786 52.3636496,4.9108909 52.3639834,4.9109005 52.3641306);LINESTRING(52.3636496 4.910786,52.3639834 4.9108909,52.3641306 4.9109005);4.91084325;52.3638901
6853;Link 27651;27651;2035;Roetersstraat;5132;273;218;111;LINESTRING(4.910786 52.3636496,4.9108909 52.3639834,4.9109005 52.3641306);LINESTRING(52.3636496 4.910786,52.3639834 4.9108909,52.3641306 4.9109005);4.91084325;52.3638901
6854;Link 27651;27651;2040;Roetersstraat;5215;277;222;113;LINESTRING(4.910786 52.3636496,4.9108909 52.3639834,4.9109005 52.3641306);LINESTRING(52.3636496 4.910786,52.3639834 4.9108909,52.3641306 4.9109005);4.91084325;52.3638901
6855;Link 27651;27651;2050;Roetersstraat;5668;302;241;123;LINESTRING(4.910786 52.3636496,4.9108909 52.3639834,4.9109005 52.3641306);LINESTRING(52.3636496 4.910786,52.3639834 4.9108909,52.3641306 4.9109005);4.91084325;52.3638901
6856;Link 27653;27653;2019;Roetersstraat;3423;181;144;74;LINESTRING(4.9107605 52.3629423,4.9105997 52.3631753);LINESTRING(52.3629423 4.9107605,52.3631753 4.9105997);4.9106801;52.3630588
6857;Link 27653;27653;2025;Roetersstraat;4662;247;198;101;LINESTRING(4.9107605 52.3629423,4.9105997 52.3631753);LINESTRING(52.3629423 4.9107605,52.3631753 4.9105997);4.9106801;52.3630588
6858;Link 27653;27653;2030;Roetersstraat;5017;267;213;109;LINESTRING(4.9107605 52.3629423,4.9105997 52.3631753);LINESTRING(52.3629423 4.9107605,52.3631753 4.9105997);4.9106801;52.3630588
6859;Link 27653;27653;2035;Roetersstraat;5171;275;220;112;LINESTRING(4.9107605 52.3629423,4.9105997 52.3631753);LINESTRING(52.3629423 4.9107605,52.3631753 4.9105997);4.9106801;52.3630588
